Sample,toxin_abundance,toxin_clusters,toxin_families,longitude,latitude,ET0,AI,ports5,ports4,ports3,ports2,ports1,cities12,cities11,cities10,cities9,cities8,cities7,cities6,cities5,cities4,cities3,cities2,cities1,bio40,bio39,bio38,bio37,bio36,bio35,bio34,bio33,bio32,bio31,bio30,bio29,bio28,bio27,bio26,bio25,bio24,bio23,bio22,bio21,bio20,biomass,HDI,GDP_per_capita_PPP,GDP_PPP,pop_density,pop_count,DTI,Soybean_Glyphosate_2020_L,Soybean_Glyphosate_2020_H,Soybean_Glufosinate_2020_L,Soybean_Glufosinate_2020_H,Corn_Glufosinate_2020_L,Corn_Glufosinate_2020_H,Corn_Chlorpyrifos_2020_L,Corn_Chlorpyrifos_2020_H,soc,silt,sand,phh2o,ocs,ocd,nitrogen,clay,cec,cfvo,bdod,elevation,bio19,bio18,bio17,bio16,bio15,bio14,bio13,bio12,bio11,bio10,bio9,bio8,bio7,bio6,bio5,bio4,bio3,bio1,bio2,PFT9,PFT8,PFT7,PFT6,PFT5,PFT4,PFT32,PFT31,PFT30,PFT3,PFT29,PFT28,PFT27,PFT26,PFT25,PFT24,PFT23,PFT22,PFT21,PFT20,PFT2,PFT19,PFT18,PFT17,PFT16,PFT15,PFT14,PFT13,PFT12,PFT11,PFT10,PFT1,PFT0
632.Tar.sand.1,0.471103943,92,48,-111.54,57.08,829,4679,979,979,1018,1004,1016,47,47,47,295,304,300,47,726,566,309,482,1882,0.202221006,0.848434985,0.033803999,-0.141733006,-0.986579001,0.63574636,0.503854215,0.426320463,0.637554824,0.147461757,0.391817987,0.662254989,0.543104768,30.47326851,187.7150726,86.18967438,183.0611572,0.625155091,17.98999977,203.8329926,106.8610687,3300,0.858522832,38755.28906,8298152,0.028523717,0.003736116,2,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,0,0,0,0,0,0,0,0,0,0,0,232,62,182,49,182,57.49782562,12,71,388,-17.25,16.35000038,-6.283333302,16.35000038,49.40000153,-25.29999924,24.10000038,1367.108765,24.52766609,0.650000155,12.11666679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
1883.2007.364.Crump.Artic.LTREB.main.lane2.NoIndex,0.468737242,36.5,29,-149.62827,68.633064,438,5402,189,189,745,1896,2493,382,740,382,396,700,382,2304,740,2627,2285,2435,3670,-0.706435978,-0.369841009,-0.45440501,-0.411103994,-1.152147055,0.38354823,0.439236999,0.367987841,0.525942743,0.15463534,0.346760005,0.536938012,0.429486632,12.46720505,129.868103,81.18408966,122.2602615,0.858871341,0.156452,170.6929932,68.83610535,1650,0.886376381,43268.66016,0,0,0,1,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,3798,0,0,0,0,0,0,0,0,0,56,722,33,120,25,120,64.88964081,7,47,237,-24.33333397,8.816666603,-20.60000038,8.816666603,45.5,-30.20000076,15.30000019,1392.030029,22.91208839,-9.570833206,10.42500019,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.89999962,0,0,0,0,0,0,5.079999924,17,58,0,0,0
804.LS11.19,0.46695253,25.5,19,8.782,44.4512,1187,9803,15,77,23,26,15,5,5,5,36,18,28,20,79,101,5,78,443,1.453400016,-1.144050956,0.951304018,0.103110999,0.425375998,1.088240027,0.633567214,0.630281448,1.150984526,0.218125552,0.506500006,1.189622998,0.964937389,69.55513763,217.9328461,223.7437744,97.10237122,0.453425676,52.39929962,243.3159943,141.1944122,7800,0.785605788,35340.61328,1345973888,28.0220108,17.21323204,2,-2,-2,-2,-2,-2,-2,-2,-2,747,352,336,67,70,539,6024,311,282,133,122,176,281,174,174,432,40.62804413,33,194,1164,6.599999905,21.64999962,21.64999962,14.61666679,24,2.900000095,26.89999962,620.2284546,30.27777863,13.83333302,7.266666412,0.939999998,0,34.43999863,0,0,0,0,0,0.039999999,0,0.239999995,0,0,0,0,0,0,0,0,1.360000014,0,4.480000019,0,0,0,0,0,0,0,0,0,58.54000092,0
1037.SBS1.OM2C0.MIN,0.462259417,61.25,39,-122.62,54.37,837,8571,460,463,460,502,498,41,477,45,41,220,434,498,477,653,514,490,1676,0.931451976,-1.625910997,0.5449,0.021547001,-0.224106997,1.072732925,0.593622863,0.594358206,1.079038739,0.239070162,0.561976016,1.090441585,0.84548372,32.97844696,183.0726929,124.6689987,28.97512245,0.601037323,21.45470047,199.595993,107.4093704,3300,0.851969242,32297.05469,0,0.006664974,0.003341195,4,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,326,422,307,59,57,475,6288,271,272,111,92,762,184,202,124,207,21.36219788,35,75,718,-8.233333588,14.03333378,-1.366666675,-2.700000048,35.5,-14,21.5,905.1607056,30.23474121,3.225000143,10.73333359,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
1038.MF1,0.461771479,98.5,52.5,-123.32,44.63,1079,16427,54,54,131,94,86,11,37,11,40,30,54,192,366,37,646,74,842,2.91297698,-1.955777049,-0.402673006,1.154976964,0.174737006,1.320035338,0.290890843,0.289898008,1.336683512,0.488390177,0.234576002,1.379083037,0.854698539,46.38682175,206.0654602,210.2095337,43.03813934,0.538956583,36.12599945,235.470993,125.6057968,37200,0.867813468,34269.83594,465686176,1.365458131,0.836249471,3,-1.5,-1.5,-1.5,-1.5,0.012013252,0.015116865,0.000102806,0.000138555,1327,479,237,55,76,495,10039,284,437,143,97,245,814,106,101,866,70.83743286,20,313,1774,4.699999809,17,16.61666679,5.050000191,25,0.800000012,25.79999924,503.5638123,44.60000229,10.4416666,11.14999962,0,0,7,0,0,0,0,0,0.219999999,0,0.280000001,0.460000008,4.900000095,0,0,0,0,0,0,0.100000001,0,0,0,4.159999847,0,0,0,0,0,0,0,82.87999725,0
1521.Mayv.2.s.8.1.sequences,0.461371677,108.3333333,50.33333333,-88.55,43.49,1048,7645,40,60,40,55,371,15,32,19,25,15,19,36,47,284,32,268,84,0.282902986,1.138643026,0.732846022,0.244900003,-0.603205979,0.932798326,0.700813234,0.699985862,0.997864485,0.1335897,0.65053302,1.019304514,0.877001286,65.26123047,199.2497711,65.26123047,184.0663147,0.446699083,48.34600067,212.6860046,129.4789581,500,0.88359189,34444.10547,144493376,263.1204224,163.1885681,1,2.415507317,2.415507317,0.014779668,0.057975817,0.002163097,0.012629262,7.44E-05,0.000182697,0,0,0,0,0,0,0,0,0,0,0,286,93,281,93,297,40.46212006,26,107,801,-6.666666508,20.28333282,-6.666666508,19.20000076,41.30000305,-13.60000038,27.70000076,1087.684082,26.815979,7.445833206,11.07499981,0,0,2.940000057,0,0,0,0,2.599999905,0,0,1,0,6.380000114,0,0,0,0,0,0,0,0,1.700000048,0,1.560000062,0,19.89999962,0,63.88000107,0,0,0,0,0
2229.S1.T23.EH1.Thomas.CMB.Seaweed.lane6.NoIndex.L006,0.459847641,13.04166667,10.75,147.9699,-43.1369,1085,7421,58,87,147,58,1050,54,58,54,985,65,187,58,1013,1465,6766,1022,7189,0.054917999,-1.700374007,1.430609941,-0.328009009,0.884378016,1.121932983,0.781807482,0.765942872,1.122701645,0.142060965,0.686797976,1.144158006,0.97769773,72.66747284,186.71138,173.1318512,72.66747284,0.407501161,56.61159897,212.0200043,133.9104919,0,0.860427082,23644.875,1391050.625,0,0,-128,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,0,0,0,0,0,0,0,0,0,0,0,1,230,169,169,230,14.37126541,55,85,806,8.650000572,14.96666622,14.96666622,8.650000572,13.19999886,5.599999905,18.79999924,253.399231,47.66414261,11.77083302,6.291666508,0,0,0,0,57.29999924,0,0,0.600000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
1580.TtA.sed.D1,0.459442669,26,20,-67.018833,17.9675,1985,4518,21,64,21,34,1579,15,41,15,19,30,66,92,41,488,102,553,2578,-1.123000979,-0.092666999,0.400893986,-0.007369,1.408099055,0.555055201,0.746849656,0.473302603,1.084651709,0.31891346,0.423316985,1.11264205,0.747736454,160.6556854,188.3589935,165.216156,157.4356995,0.131738394,129.177002,198.4859924,167.7476196,0,0.697415054,25275.21484,0,261.6366272,147.0091248,-128,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,1,88,231,88,397,56.91514587,27,148,897,24.48333359,27.60000038,24.48333359,26.76666641,16.09999847,17.70000076,33.79999924,131.9607239,77.53623962,26.14999962,12.48333359,0,0,0,0,0,0,0,11.39999962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.59999847,0,0,0,0,0,37
632.Northern.peatlands,0.457496357,43,29,-139.86,67.54,505,5362,2341,2341,2374,3442,4040,2011,2369,2011,2025,2329,2011,3825,2369,4148,3806,3956,5217,-0.176764995,0.209298998,-0.287458986,-0.387605995,-1.354501009,0.407713622,0.39276585,0.360458374,0.515220463,0.142775595,0.350493014,0.530205011,0.425892264,10.50369263,155.423111,58.39998627,147.7364197,0.836797476,0.293332994,192.6649933,80.42530823,0,0.832308412,15034.78711,1719340.25,0,0,4,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,1779,529,235,58,57,572,8550,236,465,69,60,259,41,120,40,120,50.51127625,12,48,271,-28.73333359,12.01666641,-27.08333397,12.01666641,55.40000153,-35.5,19.89999962,1688.444824,19.29903793,-9.212499619,10.6916666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.30000305,0,0,0,0,0,0,0,0,15.69999981,0,0,0
1883.2008.418.Crump.Artic.LTREB.main.lane2.NoIndex,0.446563319,79,46,-149.19565,68.53327,451,5542,372,372,934,2085,2682,571,929,571,585,888,571,2492,929,2816,2474,2624,3859,-0.763357997,-0.356451988,-0.450874001,-0.413397014,-1.169427991,0.382043064,0.446347088,0.372256994,0.52696991,0.151849553,0.353419989,0.537494004,0.431417108,12.45349312,129.9937744,71.16882324,122.3799667,0.85982579,0.158065006,170.753006,68.84397125,400,0.886376381,43268.66016,0,0,0,1,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,3615,432,350,56,101,730,11984,219,628,127,43,906,35,129,27,129,66.68326569,7,49,250,-24.26666641,7.816666603,-20.76666641,7.816666603,43.80000305,-29.70000076,14.10000038,1351.284668,22.46955872,-10.10416698,9.841666222,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.29999924,0,0,0,0,0,0,4.300000191,16.1400013,48.29999924,0,0,0
